x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
27,135,114,106,44,172,82,48,87,147,10,122,109,73,68,140,51,189,21,32
198,173,176,74,116,93,65,49,27,28,91,42,77,83,25,169,164,184,32,183
52,143,194,178,77,54,114,90,171,153,21,192,16,174,35,93,105,10,93,96
80,176,39,136,85,81,174,142,71,161,86,132,26,148,154,73,191,51,195,196
134,20,99,154,48,74,126,189,71,69,175,24,46,117,49,70,75,100,161,128
198,86,108,11,119,112,79,37,31,105,138,86,90,149,88,72,97,125,38,32
132,127,64,86,47,47,53,169,122,178,135,39,85,34,103,58,33,68,40,126
92,71,168,18,89,49,119,163,155,136,122,10,124,38,104,26,165,178,91,189
135,54,17,182,34,189,13,139,93,74,182,192,169,153,29,88,168,158,158,159
156,194,26,200,135,52,17,143,84,142,72,121,164,34,144,163,165,48,170,200
34,73,148,177,27,50,194,46,19,16,180,26,43,72,153,20,44,132,100,92
149,136,145,29,72,153,162,157,10,123,127,138,109,76,95,144,109,79,145,140
140,54,174,134,42,183,196,82,163,178,184,173,52,31,78,124,111,95,52,44
93,102,16,47,60,141,123,14,56,37,52,77,21,175,74,111,124,68,195,56
79,66,76,40,197,89,177,39,104,170,66,111,143,188,61,80,114,199,19,115
163,60,169,68,58,41,181,195,139,115,156,199,182,135,44,104,171,30,108,46
24,34,107,189,145,171,130,159,153,132,53,125,63,36,47,174,187,141,174,142
35,132,70,132,32,70,38,10,70,154,178,107,159,88,52,114,200,176,76,76
17,129,126,40,126,165,77,153,41,184,10,167,67,165,42,40,169,142,182,175
93,192,38,101,30,45,77,93,103,99,73,129,145,135,150,61,146,197,10,125
19,50,123,114,172,16,21,134,188,19,181,76,129,200,13,170,195,190,109,150
42,104,77,165,65,72,64,20,34,132,90,117,42,146,95,133,68,199,90,77
198,153,95,99,68,191,192,169,164,123,136,63,134,113,94,36,74,186,162,32
70,89,146,95,86,172,180,179,39,151,196,177,80,72,26,100,181,147,191,144
29,184,152,31,75,187,23,10,27,176,110,197,130,49,162,134,65,40,78,88
133,34,140,157,72,51,47,190,179,49,131,182,122,130,41,145,34,33,25,61
188,123,72,46,62,137,63,102,175,113,50,96,128,156,138,148,149,170,150,195
37,110,189,198,163,176,187,35,34,111,32,44,145,46,182,21,81,88,184,129
70,17,57,34,21,66,181,41,29,29,67,113,175,94,142,76,149,108,28,90
147,30,141,200,120,200,77,152,57,102,86,31,157,51,101,103,164,75,96,101
11,163,45,68,162,63,59,105,121,178,34,23,58,75,147,135,182,162,29,125
93,38,109,116,88,197,113,146,125,117,74,28,84,141,102,126,134,170,90,91
199,103,118,142,160,188,45,152,183,191,22,98,138,13,150,115,53,199,13,21
35,191,27,186,34,69,165,163,98,149,40,194,147,137,73,133,192,144,144,157
183,21,137,122,125,38,146,150,169,192,115,14,103,120,67,161,176,25,154,155
121,193,48,78,81,119,187,66,66,161,98,173,194,152,79,97,40,60,56,96
147,139,111,68,47,64,44,121,34,152,49,29,135,57,39,95,86,45,123,101
140,16,153,59,48,170,15,158,93,42,137,196,19,83,83,159,45,21,176,102
149,136,19,153,68,111,49,138,147,182,194,56,80,59,63,127,145,67,163,62
152,27,11,123,165,84,82,159,24,79,142,78,41,59,162,112,47,200,73,17
77,156,95,107,161,170,163,196,15,91,103,182,178,71,41,58,103,37,181,55
14,18,79,132,94,136,84,49,189,67,44,177,71,165,136,29,95,107,54,137
79,159,169,114,20,116,30,62,83,109,173,117,142,185,128,91,37,77,40,194
132,44,164,106,109,61,174,105,108,107,67,100,193,164,137,196,169,85,85,76
12,196,172,149,38,100,142,55,66,130,183,67,127,123,15,141,85,166,147,66
188,50,191,95,199,200,141,170,21,72,178,158,96,98,167,94,191,179,194,104
45,147,71,72,199,126,103,74,79,112,78,54,13,130,169,174,102,78,60,51
189,165,127,27,142,118,154,176,168,151,160,70,31,108,170,106,114,178,126,133
134,156,193,152,86,196,171,118,128,33,10,27,181,54,56,158,31,75,14,118
136,107,95,106,125,194,142,95,196,72,68,161,70,124,79,145,194,127,48,12
198,138,61,133,62,25,82,177,146,136,108,109,115,197,35,10,78,133,53,142
22,156,54,45,83,56,97,19,55,88,147,48,110,81,29,15,101,137,107,36
154,108,200,190,71,158,175,75,194,19,88,48,43,60,18,189,11,14,95,101
46,80,75,35,72,80,154,117,185,62,32,86,111,121,32,124,32,109,41,47
36,29,83,195,73,125,43,125,43,28,169,116,173,177,49,88,135,14,193,23
197,191,198,176,78,49,31,186,127,166,99,161,129,52,176,192,32,17,102,196
50,157,99,200,119,125,170,56,24,109,41,71,29,156,27,101,192,32,185,58
48,172,39,151,196,79,82,60,151,108,195,80,107,75,167,60,26,24,122,160
195,48,122,98,198,106,183,98,92,188,36,88,95,95,150,120,132,101,82,63
156,35,20,142,115,196,188,138,35,53,78,166,170,102,37,36,75,106,159,120
195,134,50,194,13,85,135,192,31,130,177,78,106,179,26,32,104,141,18,21
130,145,86,20,47,104,124,164,66,31,164,195,95,77,41,57,96,170,14,181
178,180,75,161,54,87,91,10,91,59,172,183,36,70,190,134,34,58,63,72
113,167,193,185,166,39,53,14,11,47,140,69,196,92,107,184,178,22,60,35
54,26,53,33,165,134,127,59,16,29,155,71,13,180,152,102,68,141,15,49
16,124,91,178,34,69,144,68,176,131,139,136,84,103,141,178,44,13,192,113
148,55,147,128,138,55,57,126,171,166,194,199,110,122,105,84,33,74,141,141
113,22,200,13,88,161,13,163,183,55,180,76,36,11,31,149,13,194,23,128
134,153,65,125,178,23,47,184,45,136,176,153,100,137,161,50,125,192,156,24
116,110,184,47,97,101,174,199,111,71,71,32,78,119,142,88,135,193,26,150
159,172,190,66,154,170,169,159,26,68,92,19,43,24,119,194,37,183,166,111
