x1,x2,x3,x4,y
29.64,21.49,50.87,54.59,271.6964
11.04,42.15,53.47,22.14,193.3722208
49.7,56.2,105.77,18.09,327.8327054
35.68,32.52,68.4,55.13,336.1890065
51.57,30.63,83.04,33.2,303.0914912
34.68,56.15,90.98,54.06,373.8751269
16.38,53.61,70.64,12.68,229.5413333
54.62,12.7,68.15,29.09,251.5474249
23.14,11.66,34.54,43.53,209.8163059
49.02,53.52,103.07,30.57,361.4243131
35.47,50.75,86.55,50.37,377.9919914
25.22,44.71,69.49,44.81,307.8043992
56.47,47.14,104.03,29.87,343.9033482
48.81,49.21,98.52,17.97,264.1174668
51.05,32.69,82.84,13.67,234.2232302
45.68,15.95,62.01,18.73,230.6159846
34.61,22.06,56.29,38.66,252.6313242
21.59,11.22,33.52,44.15,217.4901556
32.17,16.08,47.94,50.8,249.9558317
31.8,22.68,55.19,53.99,271.4793132
13.75,45.03,58.3,34.56,292.2660805
37.18,56.43,92.83,13.07,278.2037313
43.53,50.27,93.62,36.8,367.009199
45.03,33.91,78.55,18.05,228.8143087
27.76,33.88,61.4,18.38,195.1628248
10.74,21.78,32.09,20.44,128.7714455
36.2,43.96,80,45.04,357.2346691
20.12,39.3,59.55,22.27,245.8118121
25.3,57.68,82.79,43.7,325.4234399
28.9,37.63,66.58,14.83,185.5261634
36.02,19.88,56.48,46.71,283.0286089
16.49,34.85,51.68,32.1,215.5839296
38.84,15.47,54.19,42.47,278.0589644
51.72,15.86,68.46,40.72,271.1812257
29.25,22,51.45,27.79,206.9777813
45.59,49.65,94.64,11.55,272.8122533
18.72,43.7,62.29,58.93,359.9717223
36.27,13.83,50.05,39.26,257.3118215
12.7,12.64,25.3,14.04,116.8437853
10.03,18.26,29.11,18.91,187.6186701
14.45,47.21,62.5,37.09,281.9397282
29.98,53.64,83.74,27.77,280.9542955
32.59,25.71,58.51,52.75,301.85125
23.21,42.93,65.14,29.98,251.8972922
38.47,30.51,68.87,30.53,249.097149
49.1,11.79,61.88,13.18,192.4527916
11.05,56.24,67.31,15.63,228.9653113
25.78,57.65,83.22,59.1,387.6136961
29.06,56.19,85.01,46.29,381.4289823
39.72,12.71,51.62,26.9,186.4616168
48.17,26.84,74.68,16.68,214.9292584
50.73,13.32,63.15,10.63,169.4138656
14.73,24.71,39.87,50.74,258.1743293
55.16,30.83,85.68,19.61,238.4248744
40.44,25.4,65.66,29.9,256.2195301
47.05,29.78,76.56,49.62,295.2672591
11.1,34.84,45.47,33.83,257.8804161
42.9,30.43,73.86,56.61,339.0657044
23.03,49.3,72.4,22.34,235.3774907
22.86,25.01,47.4,41.81,266.5558531
48.38,54.62,103.62,22.99,315.4928068
50.32,55.12,105.53,30.6,344.4298558
28.34,40.49,68.19,29.24,240.5551058
26.62,33.42,59.06,23.28,212.093274
51.78,55.32,107.76,39.84,397.3613898
21.27,46.38,67.95,14.09,249.3941979
41.84,39.26,80.63,43.04,327.5920115
