x1,x2,x3,x4,x5,x6,x7
514.50,294.00,101.75,196.00,2.20,0.25,62.88
686.00,245.00,226.50,148.00,4.84,0.10,21.93
563.50,318.50,120.00,180.00,3.86,0.10,55.85
710.50,269.50,213.50,142.00,2.83,0.40,34.23
612.50,318.50,139.50,164.00,2.16,0.40,48.35
784.00,343.00,210.50,128.00,5.18,0.40,41.85
637.00,343.00,139.00,158.00,5.18,0.10,44.42
808.50,367.50,224.50,124.00,4.85,0.25,45.95
661.50,416.50,122.00,152.00,2.16,0.00,55.71
588.00,294.00,151.50,172.00,4.09,0.10,62.94
661.50,416.50,120.50,152.00,3.91,0.25,59.29
588.00,294.00,145.50,172.00,4.80,0.10,39.76
710.50,269.50,214.00,142.00,4.95,0.40,55.15
588.00,294.00,154.50,172.00,2.06,0.40,64.57
710.50,269.50,220.50,142.00,4.99,0.10,32.28
637.00,343.00,155.50,158.00,4.04,0.00,66.91
710.50,269.50,229.00,142.00,5.12,0.00,31.68
686.00,245.00,228.00,148.00,2.93,0.40,46.95
661.50,416.50,122.00,152.00,1.81,0.25,60.30
784.00,343.00,213.00,128.00,2.95,0.10,47.62
808.50,367.50,213.00,124.00,4.11,0.40,54.11
808.50,367.50,222.50,124.00,2.86,0.40,40.77
661.50,416.50,125.00,152.00,3.88,0.40,53.46
612.50,318.50,140.00,164.00,1.87,0.10,47.32
710.50,269.50,222.50,142.00,3.02,0.00,37.53
784.00,343.00,222.00,128.00,2.83,0.25,47.87
759.50,318.50,215.50,132.00,3.95,0.10,26.02
612.50,318.50,153.00,164.00,3.07,0.25,40.56
612.50,318.50,142.50,164.00,1.83,0.10,56.69
686.00,245.00,220.50,148.00,5.08,0.25,43.38
759.50,318.50,221.50,132.00,1.99,0.10,28.72
588.00,294.00,139.00,172.00,2.80,0.25,42.45
514.50,294.00,108.25,196.00,3.10,0.40,66.95
612.50,318.50,137.00,164.00,4.91,0.10,36.69
784.00,343.00,211.50,128.00,2.18,0.10,52.02
759.50,318.50,225.00,132.00,5.07,0.00,36.55
661.50,416.50,130.00,152.00,3.92,0.40,79.61
759.50,318.50,216.50,132.00,4.85,0.10,43.08
784.00,343.00,217.00,128.00,5.16,0.40,58.29
612.50,318.50,137.50,164.00,4.07,0.40,51.18
563.50,318.50,113.00,180.00,4.04,0.10,46.86
661.50,416.50,113.00,152.00,2.14,0.40,67.68
784.00,343.00,212.50,128.00,1.84,0.00,51.79
784.00,343.00,212.50,128.00,3.80,0.10,45.08
759.50,318.50,217.50,132.00,1.82,0.40,33.12
808.50,367.50,230.00,124.00,2.02,0.10,34.60
514.50,294.00,103.25,196.00,2.83,0.25,50.89
735.00,294.00,216.00,138.00,4.16,0.10,49.63
514.50,294.00,108.75,196.00,4.82,0.25,42.95
661.50,416.50,128.00,152.00,2.82,0.10,64.36
686.00,245.00,212.00,148.00,3.93,0.40,46.50
686.00,245.00,219.50,148.00,3.80,0.25,29.45
710.50,269.50,229.50,142.00,1.90,0.40,36.10
588.00,294.00,153.50,172.00,5.02,0.40,57.47
588.00,294.00,146.00,172.00,1.82,0.25,61.98
784.00,343.00,222.00,128.00,4.99,0.10,39.38
637.00,343.00,137.00,158.00,3.81,0.10,54.31
661.50,416.50,124.00,152.00,3.03,0.25,74.18
686.00,245.00,216.00,148.00,5.17,0.10,40.72
661.50,416.50,115.50,152.00,3.96,0.40,56.38
514.50,294.00,117.25,196.00,3.20,0.10,40.65
759.50,318.50,228.50,132.00,5.08,0.10,27.98
612.50,318.50,153.50,164.00,3.87,0.25,35.75
637.00,343.00,144.50,158.00,3.85,0.25,72.22
686.00,245.00,217.00,148.00,1.96,0.10,46.24
661.50,416.50,112.50,152.00,1.93,0.40,68.44
710.50,269.50,220.00,142.00,3.91,0.40,23.93
784.00,343.00,217.50,128.00,3.12,0.40,39.60
686.00,245.00,216.50,148.00,4.09,0.25,22.38
710.50,269.50,215.00,142.00,1.82,0.10,24.41
588.00,294.00,155.50,172.00,3.94,0.10,40.74
710.50,269.50,220.00,142.00,3.01,0.10,42.86
686.00,245.00,224.50,148.00,5.19,0.40,30.52
563.50,318.50,131.00,180.00,2.15,0.25,58.69
514.50,294.00,116.25,196.00,4.02,0.25,37.47
686.00,245.00,220.50,148.00,3.04,0.10,31.32
514.50,294.00,104.25,196.00,3.84,0.25,58.20
735.00,294.00,226.50,138.00,1.87,0.25,52.74
637.00,343.00,142.50,158.00,2.01,0.25,52.40
612.50,318.50,143.50,164.00,3.91,0.00,39.19
735.00,294.00,216.00,138.00,4.85,0.10,41.91
588.00,294.00,144.00,172.00,3.10,0.40,47.97
661.50,416.50,129.00,152.00,4.83,0.40,59.47
637.00,343.00,155.00,158.00,2.08,0.40,61.96
710.50,269.50,213.00,142.00,4.16,0.10,49.95
612.50,318.50,147.00,164.00,1.88,0.40,49.33
661.50,416.50,116.00,152.00,5.20,0.25,66.77
661.50,416.50,119.50,152.00,5.04,0.40,62.91
514.50,294.00,119.25,196.00,3.99,0.40,69.89
612.50,318.50,141.50,164.00,1.80,0.25,46.34
514.50,294.00,100.75,196.00,3.82,0.40,66.46
514.50,294.00,113.75,196.00,2.90,0.40,52.00
759.50,318.50,219.50,132.00,3.87,0.40,49.90
686.00,245.00,228.50,148.00,1.98,0.25,22.70
563.50,318.50,131.00,180.00,4.06,0.00,51.41
808.50,367.50,222.00,124.00,5.20,0.40,52.04
