x1,x2,x3,x4,x5,x6,x7,y
612.50,318.50,155.00,164.00,3.10,0.10,52.01,28.61
808.50,367.50,223.00,124.00,1.99,0.40,34.71,16.88
710.50,269.50,224.00,142.00,3.84,0.40,28.79,15.33
588.00,294.00,151.50,172.00,2.99,0.10,51.76,25.60
588.00,294.00,154.50,172.00,3.99,0.40,45.67,31.70
514.50,294.00,114.75,196.00,3.80,0.10,54.18,26.13
514.50,294.00,115.75,196.00,1.96,0.10,65.43,26.47
759.50,318.50,212.50,132.00,5.03,0.40,26.33,18.24
686.00,245.00,224.50,148.00,5.14,0.10,44.48,13.53
514.50,294.00,119.75,196.00,3.82,0.10,56.03,25.88
759.50,318.50,212.50,132.00,4.16,0.10,25.71,14.65
808.50,367.50,214.50,124.00,4.98,0.10,38.13,13.89
710.50,269.50,211.00,142.00,2.19,0.00,43.01,11.27
735.00,294.00,226.50,138.00,4.02,0.10,45.79,14.42
661.50,416.50,112.50,152.00,5.06,0.25,75.47,36.81
759.50,318.50,222.00,132.00,2.94,0.40,27.00,17.79
735.00,294.00,224.00,138.00,2.20,0.40,48.58,16.81
514.50,294.00,117.75,196.00,4.83,0.40,46.86,34.00
686.00,245.00,218.00,148.00,3.09,0.10,33.28,13.72
808.50,367.50,218.00,124.00,4.85,0.10,21.42,14.27
784.00,343.00,230.50,128.00,4.08,0.25,39.43,20.46
661.50,416.50,130.50,152.00,2.98,0.40,55.91,40.40
759.50,318.50,229.50,132.00,4.05,0.00,38.55,12.40
686.00,245.00,227.50,148.00,3.86,0.40,31.03,16.90
686.00,245.00,221.00,148.00,4.02,0.40,48.75,16.99
710.50,269.50,211.00,142.00,4.05,0.00,19.61,11.29
686.00,245.00,223.50,148.00,4.06,0.40,49.29,16.57
808.50,367.50,217.50,124.00,3.13,0.00,21.62,12.22
588.00,294.00,155.50,172.00,2.01,0.00,47.63,27.30
808.50,367.50,213.50,124.00,4.10,0.25,48.02,15.14
514.50,294.00,104.75,196.00,4.92,0.25,52.39,30.20
710.50,269.50,230.00,142.00,4.80,0.25,47.66,15.32
588.00,294.00,144.50,172.00,4.01,0.25,55.29,30.12
808.50,367.50,223.50,124.00,4.84,0.25,40.71,14.35
759.50,318.50,211.00,132.00,3.16,0.10,45.88,14.81
759.50,318.50,223.00,132.00,4.88,0.40,36.78,18.06
588.00,294.00,138.00,172.00,1.83,0.25,47.26,33.98
514.50,294.00,100.75,196.00,4.07,0.40,58.62,33.76
735.00,294.00,227.50,138.00,3.93,0.00,22.83,11.73
588.00,294.00,140.00,172.00,1.85,0.40,69.02,35.99
686.00,245.00,218.00,148.00,1.95,0.40,42.92,16.61
563.50,318.50,125.00,180.00,4.10,0.25,53.55,32.71
563.50,318.50,132.50,180.00,1.92,0.25,67.75,36.12
735.00,294.00,216.50,138.00,3.07,0.10,52.77,14.61
514.50,294.00,101.25,196.00,3.86,0.00,48.70,21.33
808.50,367.50,222.00,124.00,1.92,0.10,50.87,14.09
759.50,318.50,212.50,132.00,1.85,0.40,32.51,17.04
563.50,318.50,132.50,180.00,5.16,0.25,42.83,37.72
637.00,343.00,150.00,158.00,3.07,0.40,52.44,47.59
784.00,343.00,217.50,128.00,1.90,0.25,52.44,19.87
588.00,294.00,142.00,172.00,3.17,0.10,62.53,27.33
563.50,318.50,121.00,180.00,3.09,0.10,59.87,29.87
735.00,294.00,214.00,138.00,4.03,0.40,33.38,16.54
661.50,416.50,121.00,152.00,2.20,0.40,82.70,39.48
784.00,343.00,213.00,128.00,5.07,0.25,47.47,20.29
637.00,343.00,145.00,158.00,2.16,0.10,61.94,34.25
514.50,294.00,104.75,196.00,4.86,0.10,54.11,26.29
759.50,318.50,228.00,132.00,3.01,0.25,43.95,15.85
563.50,318.50,121.00,180.00,2.99,0.40,55.87,35.39
686.00,245.00,225.50,148.00,3.04,0.40,45.43,17.25
612.50,318.50,147.00,164.00,4.19,0.10,34.64,28.88
661.50,416.50,116.50,152.00,2.98,0.25,74.90,36.44
612.50,318.50,138.50,164.00,3.00,0.00,40.18,21.46
759.50,318.50,223.00,132.00,4.84,0.25,34.76,16.14
686.00,245.00,219.00,148.00,3.09,0.10,22.36,13.36
784.00,343.00,224.00,128.00,2.01,0.40,33.39,21.72
710.50,269.50,230.50,142.00,2.16,0.25,39.97,14.91
588.00,294.00,143.50,172.00,3.11,0.00,41.03,21.97
514.50,294.00,110.75,196.00,3.07,0.10,60.69,25.98
612.50,318.50,145.00,164.00,2.11,0.40,43.67,28.20
661.50,416.50,129.50,152.00,4.17,0.10,53.86,33.89
637.00,343.00,156.00,158.00,4.08,0.40,58.06,38.81
612.50,318.50,142.00,164.00,5.20,0.25,34.30,29.88
514.50,294.00,106.25,196.00,2.06,0.25,63.03,29.43
588.00,294.00,141.00,172.00,4.85,0.25,54.27,33.47
563.50,318.50,121.50,180.00,4.90,0.00,34.66,29.60
710.50,269.50,213.50,142.00,4.13,0.10,45.10,13.80
710.50,269.50,211.00,142.00,2.89,0.25,43.62,15.85
686.00,245.00,221.50,148.00,4.81,0.25,44.44,14.03
808.50,367.50,224.50,124.00,1.96,0.40,36.44,17.20
588.00,294.00,149.00,172.00,3.08,0.40,47.88,31.20
612.50,318.50,150.00,164.00,2.04,0.25,39.48,28.77
759.50,318.50,219.00,132.00,2.19,0.40,45.38,18.14
710.50,269.50,221.00,142.00,4.16,0.40,54.99,16.70
784.00,343.00,224.50,128.00,3.89,0.40,41.51,20.71
735.00,294.00,228.00,138.00,2.05,0.00,29.90,11.74
759.50,318.50,224.00,132.00,3.88,0.25,48.04,15.80
588.00,294.00,138.00,172.00,4.11,0.40,57.78,36.26
637.00,343.00,144.00,158.00,4.89,0.40,79.76,48.03
637.00,343.00,157.00,158.00,1.96,0.40,71.32,45.59
710.50,269.50,211.50,142.00,4.98,0.40,34.91,17.47
612.50,318.50,149.00,164.00,2.11,0.10,33.93,27.31
637.00,343.00,147.00,158.00,4.02,0.25,58.65,45.28
808.50,367.50,225.50,124.00,2.84,0.10,26.35,14.34
784.00,343.00,221.00,128.00,5.09,0.10,34.61,19.30
514.50,294.00,103.25,196.00,3.81,0.25,67.83,30.00
514.50,294.00,117.75,196.00,4.91,0.40,45.79,33.04
