A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,120,475
a,21.5,6,u,g,aa,v,2.5,t,t,3,f,g,80,918
b,26,1,u,g,q,v,1.75,t,f,0,t,g,280,0
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0,221
b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,200,0
b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,100,375
a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0,351
b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120,14
b,39.17,2.5,y,p,i,h,10,f,f,0,t,s,200,0
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0,321
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60,58
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300
b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,0,44
a,19.58,0.665,y,p,c,v,1,f,t,1,f,g,2000,2
a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27
b,69.17,9,u,g,ff,ff,4,f,t,1,f,g,70,6
b,51.83,3,y,p,ff,ff,1.5,f,f,0,f,g,180,4
b,26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,0,17
a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,380,0
b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0,0
b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,100,809
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408,1000
a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,120,87
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0
a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500
b,?,0.625,u,g,k,v,0.25,f,f,0,f,g,380,2010
b,22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,100,1212
b,42,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0
?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160,0
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410,2510
b,31.25,1.125,u,g,ff,ff,0,f,t,1,f,g,96,19
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,80,1349
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,720,0
a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200,4
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487,500
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0
a,41,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236
b,23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,422,200
a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,240,0
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400
b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,0,38
b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120,0
b,13.75,4,y,p,w,v,1.75,t,t,2,t,g,120,1000
b,17.58,10,u,g,w,h,0.165,f,t,1,f,g,120,1
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132,28
a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0,0
?,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300,0
a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,0,5000
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,280,0
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,360,6
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0,0
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120,2206
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200
b,21.08,10.085,y,p,e,h,1.25,f,f,0,f,g,260,0
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,80,0
a,15.75,0.375,u,g,c,v,1,f,f,0,f,g,120,18
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70,0
a,33.25,3,y,p,aa,v,2,f,f,0,f,g,180,0
b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0,0
b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,?,0
b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100,0
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,80,0
b,42.08,1.04,u,g,w,v,5,t,t,6,t,g,500,10000
b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,100,0
a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80,400
a,47.75,8,u,g,c,v,7.875,t,t,6,t,g,0,1260
b,22.83,3,u,g,m,v,1.29,t,t,1,f,g,260,800
b,40.58,5,u,g,c,v,5,t,t,7,f,g,0,3065
b,16,3.125,u,g,w,v,0.085,f,t,1,f,g,0,6
b,21.33,10.5,u,g,c,v,3,t,f,0,t,g,0,0
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0
b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954
b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,60,100
a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,73,0
b,34.08,2.5,u,g,c,v,1,f,f,0,f,g,460,16
b,22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,400,9
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0
b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,280,204
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0
b,42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,352,112
b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,260,500
a,46,4,u,g,j,j,0,t,f,0,f,g,100,960
a,25.58,0,?,?,?,?,0,f,f,0,f,p,?,0
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560,0
a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,181,0
b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,360,0
b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,100,0
a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180,0
b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240,100
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163,0
b,16.5,0.125,u,g,c,v,0.165,f,f,0,f,g,132,0
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,120,67
b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70,0
b,28,3,u,g,w,v,0.75,f,f,0,t,g,300,67
b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0,2690
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108
b,27.83,1,y,p,d,h,3,f,f,0,f,g,176,537
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0
b,23.75,12,u,g,c,v,2.085,f,f,0,f,s,80,0
a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0,0
b,25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,160,0
b,39.58,5,u,g,ff,ff,0,f,t,2,f,g,17,1
a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,120,0
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,0,15
a,23,1.835,u,g,j,j,0,f,t,1,f,g,200,53
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,200,0
a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144,0
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,200,0
b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92,0
a,20.33,10,u,g,c,h,1,t,t,4,f,g,50,1465
a,64.08,0.165,u,g,ff,ff,0,t,t,1,f,g,232,100
b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280,204
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0,109
b,34.83,2.5,y,p,w,v,3,f,f,0,f,s,200,0
